Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,08,20,16.9,1,N
IDCJAC0010,009225,2017,08,21,17.0,1,N
IDCJAC0010,009225,2017,08,22,18.5,1,N
IDCJAC0010,009225,2017,08,23,19.3,1,N
IDCJAC0010,009225,2017,08,24,22.3,1,N
IDCJAC0010,009225,2017,08,25,21.0,1,N
IDCJAC0010,009225,2017,08,26,20.8,1,N
IDCJAC0010,009225,2017,08,27,24.2,1,N
IDCJAC0010,009225,2017,08,28,24.4,1,N
IDCJAC0010,009225,2017,08,29,18.5,1,N
IDCJAC0010,009225,2017,08,30,20.1,1,N
IDCJAC0010,009225,2017,08,31,18.8,1,N
IDCJAC0010,009225,2017,09,01,16.9,1,Y
IDCJAC0010,009225,2017,09,02,16.3,1,Y
IDCJAC0010,009225,2017,09,03,16.3,1,Y
IDCJAC0010,009225,2017,09,04,18.4,1,Y
IDCJAC0010,009225,2017,09,05,22.1,1,Y
IDCJAC0010,009225,2017,09,06,25.9,1,Y
IDCJAC0010,009225,2017,09,07,24.8,1,Y
IDCJAC0010,009225,2017,09,08,24.9,1,Y
IDCJAC0010,009225,2017,09,09,23.1,1,Y
IDCJAC0010,009225,2017,09,10,21.3,1,Y
IDCJAC0010,009225,2017,09,11,20.5,1,Y
IDCJAC0010,009225,2017,09,12,18.6,1,Y
IDCJAC0010,009225,2017,09,13,21.3,1,Y
IDCJAC0010,009225,2017,09,14,24.8,1,Y
IDCJAC0010,009225,2017,09,15,27.9,1,Y
IDCJAC0010,009225,2017,09,16,24.4,1,Y
IDCJAC0010,009225,2017,09,17,21.8,1,Y
IDCJAC0010,009225,2017,09,18,26.0,1,Y
IDCJAC0010,009225,2017,09,19,22.1,1,Y
IDCJAC0010,009225,2017,09,20,21.8,1,Y
IDCJAC0010,009225,2017,09,21,21.8,1,Y
IDCJAC0010,009225,2017,09,22,19.4,1,Y
IDCJAC0010,009225,2017,09,23,17.7,1,Y
IDCJAC0010,009225,2017,09,24,16.9,1,Y
IDCJAC0010,009225,2017,09,25,16.8,1,Y
IDCJAC0010,009225,2017,09,26,18.1,1,Y
IDCJAC0010,009225,2017,09,27,16.6,1,Y
IDCJAC0010,009225,2017,09,28,15.7,1,Y
IDCJAC0010,009225,2017,09,29,18.5,1,Y
IDCJAC0010,009225,2017,09,30,21.1,1,Y
IDCJAC0010,009225,2017,10,01,25.1,1,Y
IDCJAC0010,009225,2017,10,02,22.9,1,Y
IDCJAC0010,009225,2017,10,03,21.5,1,Y
IDCJAC0010,009225,2017,10,04,19.7,1,Y
IDCJAC0010,009225,2017,10,05,22.1,1,Y
IDCJAC0010,009225,2017,10,06,21.9,1,Y
IDCJAC0010,009225,2017,10,07,16.2,1,Y
IDCJAC0010,009225,2017,10,08,20.0,1,Y
IDCJAC0010,009225,2017,10,09,21.8,1,Y
IDCJAC0010,009225,2017,10,10,20.4,1,Y
IDCJAC0010,009225,2017,10,11,19.2,1,Y
